Date,mouse_number,genotype,cagemate_number,Total hard food consumed (g),Time of weight / food check (HH:MM),Sex
9/15/2018,1,Prrxl1WT,,2.7,12:22:00,M
9/15/2018,2,Prrxl1WT,,1.8,12:34:00,M
9/15/2018,13,Prrxl1KO,14,1.45,13:09:00,F
9/15/2018,14,Prrxl1KO,13,1.45,13:10:00,F
9/16/2018,1,Prrxl1WT,,2.8,11:06:00,M
9/16/2018,2,Prrxl1WT,,1.8,11:19:00,M
9/16/2018,13,Prrxl1KO,14,0.55,12:35:00,F
9/16/2018,14,Prrxl1KO,13,0.55,12:36:00,F
9/17/2018,1,Prrxl1WT,,2.55,15:49:00,M
9/17/2018,2,Prrxl1WT,,1.8,11:33:00,M
9/17/2018,13,Prrxl1KO,14,-0.05,14:45:00,F
9/17/2018,14,Prrxl1KO,13,-0.05,15:24:00,F
9/18/2018,1,Prrxl1WT,,2.5,15:11:00,M
9/18/2018,2,Prrxl1WT,,2.4,11:06:00,M
9/18/2018,13,Prrxl1KO,14,-0.55,15:22:00,F
9/18/2018,14,Prrxl1KO,13,-0.55,14:39:00,F
9/19/2018,1,Prrxl1WT,,2.7,14:57:00,M
9/19/2018,2,Prrxl1WT,,1.8,15:08:00,M
9/19/2018,13,Prrxl1KO,14,0.6,15:34:00,F
9/19/2018,14,Prrxl1KO,13,0.6,15:32:00,F
9/20/2018,1,Prrxl1WT,,2.5,12:33:00,M
9/20/2018,2,Prrxl1WT,,2.1,12:46:00,M
9/21/2018,1,Prrxl1WT,,3.2,10:49:00,M
9/21/2018,2,Prrxl1WT,,2.6,10:58:00,M
9/22/2018,1,Prrxl1WT,,2.45,13:18:00,M
9/22/2018,2,Prrxl1WT,,1.9,13:33:00,M
9/23/2018,1,Prrxl1WT,,3.05,10:20:00,M
9/23/2018,2,Prrxl1WT,,2.6,10:33:00,M
9/23/2018,13,Prrxl1KO,14,1.7,11:24:00,F
9/23/2018,14,Prrxl1KO,13,1.7,11:20:00,F
9/24/2018,1,Prrxl1WT,,2.9,11:08:00,M
9/24/2018,2,Prrxl1WT,,2.6,11:16:00,M
9/24/2018,13,Prrxl1KO,14,1.7,11:35:00,F
9/24/2018,14,Prrxl1KO,13,1.7,11:36:00,F
9/25/2018,1,Prrxl1WT,,3.35,10:40:00,M
9/25/2018,2,Prrxl1WT,,3,10:46:00,M
9/25/2018,13,Prrxl1KO,14,0.9,11:14:00,F
9/25/2018,14,Prrxl1KO,13,0.9,11:14:00,F
9/26/2018,1,Prrxl1WT,,3.4,11:38:00,M
9/26/2018,2,Prrxl1WT,,2.9,11:45:00,M
9/27/2018,1,Prrxl1WT,,3.5,10:51:00,M
9/27/2018,2,Prrxl1WT,,3.6,10:58:00,M
9/28/2018,1,Prrxl1WT,,3.85,12:18:00,M
9/28/2018,2,Prrxl1WT,,3.6,12:26:00,M
9/28/2018,13,Prrxl1KO,14,1.95,12:45:00,F
9/28/2018,14,Prrxl1KO,13,1.95,12:46:00,F
9/29/2018,1,Prrxl1WT,,3.05,14:22:00,M
9/29/2018,2,Prrxl1WT,,2.6,14:33:00,M
9/30/2018,1,Prrxl1WT,,3.05,13:05:00,M
9/30/2018,2,Prrxl1WT,,3,13:16:00,M
10/1/2018,1,Prrxl1WT,,3.7,12:11:00,M
10/1/2018,2,Prrxl1WT,,3.1,12:17:00,M
10/1/2018,13,Prrxl1KO,14,2.85,12:52:00,F
10/1/2018,14,Prrxl1KO,13,2.85,12:54:00,F
10/2/2018,2,Prrxl1WT,,4,10:52:00,M
10/2/2018,14,Prrxl1KO,13,2.1,13:15:00,F
10/3/2018,2,Prrxl1WT,,3.3,12:32:00,M
10/4/2018,2,Prrxl1WT,,3.9,11:56:00,M
10/5/2018,2,Prrxl1WT,,3.7,12:48:00,M
10/6/2018,2,Prrxl1WT,,4.7,11:29:00,M
10/7/2018,2,Prrxl1WT,,3.3,13:27:00,M
10/7/2018,13,Prrxl1KO,14,1.2,14:02:00,F
10/8/2018,2,Prrxl1WT,,4.5,12:52:00,M
10/9/2018,2,Prrxl1WT,,4.2,13:26:00,M
10/10/2018,2,Prrxl1WT,,4.6,16:13:00,M
10/11/2018,2,Prrxl1WT,,2.8,17:16:00,M
10/12/2018,2,Prrxl1WT,,4.3,12:34:00,M
10/13/2018,2,Prrxl1WT,,3.8,13:59:00,M
10/14/2018,2,Prrxl1WT,,4.6,11:44:00,M
10/15/2018,2,Prrxl1WT,,5,12:13:00,M
10/28/2018,13,Prrxl1KO,14,2.4,14:11:00,F
10/28/2018,14,Prrxl1KO,13,2.4,14:12:00,F
10/29/2018,13,Prrxl1KO,14,3.35,12:45:00,F
10/29/2018,14,Prrxl1KO,13,3.35,12:44:00,F
10/30/2018,13,Prrxl1KO,14,3.35,12:06:00,F
10/30/2018,14,Prrxl1KO,13,3.35,12:05:00,F
10/31/2018,13,Prrxl1KO,14,4.2,12:35:00,F
11/1/2018,13,Prrxl1KO,14,2.9,14:23:00,F
1/16/2019,3,Prrxl1WT,5,5.85,12:44:00,F
1/16/2019,5,Prrxl1WT,3,5.85,12:47:00,F
1/16/2019,6,Prrxl1WT,,3.4,12:49:00,F
1/17/2019,3,Prrxl1WT,5,4.9,17:34:00,F
1/17/2019,12,Prrxl1KO,,2.6,17:25:00,F
1/17/2019,5,Prrxl1WT,3,4.9,17:31:00,F
1/22/2019,11,Prrxl1KO,,2.3,16:28:00,M
1/23/2019,11,Prrxl1KO,,0.4,16:47:00,M
1/23/2019,3,Prrxl1WT,5,2.5,17:40:00,F
1/23/2019,12,Prrxl1KO,,2.5,17:30:00,F
1/23/2019,4,Prrxl1WT,,2.6,16:53:00,M
1/23/2019,5,Prrxl1WT,3,2.5,17:41:00,F
1/23/2019,6,Prrxl1WT,,4,17:45:00,F
1/23/2019,7,Prrxl1WT,8,4.6,17:17:00,M
1/23/2019,8,Prrxl1WT,7,4.6,17:18:00,M
1/23/2019,15,Prrxl1KO,16,4.3,17:35:00,F
1/23/2019,16,Prrxl1KO,15,4.3,17:37:00,F
1/24/2019,10,Prrxl1KO,,4.3,13:11:00,M
1/24/2019,11,Prrxl1KO,,0.7,13:20:00,M
1/24/2019,3,Prrxl1WT,5,5.15,13:55:00,F
1/24/2019,12,Prrxl1KO,,5.3,13:42:00,F
1/24/2019,4,Prrxl1WT,,4.6,13:24:00,M
1/24/2019,5,Prrxl1WT,3,5.15,13:54:00,F
1/24/2019,6,Prrxl1WT,,3.7,14:00:00,F
1/24/2019,7,Prrxl1WT,8,4.15,13:31:00,M
1/24/2019,8,Prrxl1WT,7,4.15,13:29:00,M
1/24/2019,15,Prrxl1KO,16,3.45,13:48:00,F
1/24/2019,16,Prrxl1KO,15,3.45,13:50:00,F
1/25/2019,10,Prrxl1KO,,3.9,13:13:00,M
1/25/2019,3,Prrxl1WT,5,3.95,14:35:00,F
1/25/2019,12,Prrxl1KO,,3.5,14:22:00,F
1/25/2019,4,Prrxl1WT,,5.5,13:22:00,M
1/25/2019,5,Prrxl1WT,3,3.95,14:32:00,F
1/25/2019,7,Prrxl1WT,8,4.2,13:30:00,M
1/25/2019,8,Prrxl1WT,7,4.2,13:28:00,M
1/25/2019,15,Prrxl1KO,16,3.6,14:27:00,F
1/25/2019,16,Prrxl1KO,15,3.6,14:28:00,F
1/28/2019,9,Prrxl1KO,,4.7,15:24:00,M
1/28/2019,10,Prrxl1KO,,3.2,15:27:00,M
1/28/2019,11,Prrxl1KO,,3.4,15:32:00,M
1/28/2019,3,Prrxl1WT,5,3.3,14:48:00,F
1/28/2019,5,Prrxl1WT,3,3.3,14:52:00,F
1/28/2019,6,Prrxl1WT,,2.6,14:59:00,F
1/28/2019,7,Prrxl1WT,8,4.1,11:47:00,M
1/28/2019,8,Prrxl1WT,7,4.1,15:36:00,M
1/29/2019,9,Prrxl1KO,,5.1,13:31:00,M
1/29/2019,10,Prrxl1KO,,2.9,13:36:00,M
1/29/2019,11,Prrxl1KO,,2.6,13:41:00,M
1/29/2019,3,Prrxl1WT,5,2.65,14:09:00,F
1/29/2019,5,Prrxl1WT,3,2.65,14:06:00,F
1/29/2019,6,Prrxl1WT,,3.8,14:14:00,F
1/29/2019,7,Prrxl1WT,8,5.1,13:48:00,M
1/29/2019,8,Prrxl1WT,7,5.1,13:49:00,M
1/30/2019,9,Prrxl1KO,,3.9,16:51:00,M
1/30/2019,10,Prrxl1KO,,1.7,16:55:00,M
1/30/2019,11,Prrxl1KO,,3.5,16:59:00,M
1/30/2019,3,Prrxl1WT,5,2.95,14:59:00,F
1/30/2019,4,Prrxl1WT,,2.5,17:04:00,M
1/30/2019,5,Prrxl1WT,3,2.95,14:13:00,F
1/30/2019,7,Prrxl1WT,8,3.55,17:07:00,M
1/30/2019,8,Prrxl1WT,7,4.55,17:07:00,M
1/31/2019,9,Prrxl1KO,,2.8,13:13:00,M
1/31/2019,10,Prrxl1KO,,2.1,13:15:00,M
1/31/2019,3,Prrxl1WT,5,3.25,13:46:00,F
1/31/2019,12,Prrxl1KO,,3.8,13:36:00,F
1/31/2019,4,Prrxl1WT,,4.5,13:21:00,M
1/31/2019,5,Prrxl1WT,3,3.25,13:44:00,F
1/31/2019,7,Prrxl1WT,8,4.35,13:28:00,M
1/31/2019,8,Prrxl1WT,7,4.35,13:29:00,M
1/31/2019,15,Prrxl1KO,16,1.95,13:40:00,F
1/31/2019,16,Prrxl1KO,15,1.95,13:39:00,F
2/1/2019,10,Prrxl1KO,,2.1,11:00:00,M
2/1/2019,3,Prrxl1WT,5,3.9,14:54:00,F
2/1/2019,12,Prrxl1KO,,4.7,14:42:00,F
2/1/2019,4,Prrxl1WT,,5.2,14:15:00,M
2/1/2019,5,Prrxl1WT,3,3.9,14:53:00,F
2/1/2019,6,Prrxl1WT,,3.1,14:58:00,F
2/1/2019,7,Prrxl1WT,8,4.5,14:33:00,M
2/1/2019,8,Prrxl1WT,7,4.5,14:34:00,M
2/2/2019,10,Prrxl1KO,,1.4,14:54:00,M
2/2/2019,3,Prrxl1WT,5,4.05,15:43:00,F
2/2/2019,12,Prrxl1KO,,3.3,15:34:00,F
2/2/2019,4,Prrxl1WT,,5,15:00:00,M
2/2/2019,5,Prrxl1WT,3,4.05,15:41:00,F
2/2/2019,6,Prrxl1WT,,3.4,15:45:00,F
2/2/2019,7,Prrxl1WT,8,3.9,15:04:00,M
2/2/2019,8,Prrxl1WT,7,3.9,15:06:00,M
2/3/2019,9,Prrxl1KO,,3.8,12:35:00,M
2/3/2019,3,Prrxl1WT,5,5.15,13:31:00,F
2/3/2019,12,Prrxl1KO,,4.9,13:17:00,F
2/3/2019,4,Prrxl1WT,,5.1,12:50:00,M
2/3/2019,5,Prrxl1WT,3,5.15,13:33:00,F
2/3/2019,6,Prrxl1WT,,3.7,13:39:00,F
2/3/2019,7,Prrxl1WT,8,5.1,12:53:00,M
2/3/2019,8,Prrxl1WT,7,5.1,12:54:00,M
2/4/2019,9,Prrxl1KO,,5.6,15:19:00,M
2/4/2019,3,Prrxl1WT,5,3.7,16:01:00,F
2/4/2019,12,Prrxl1KO,,3.8,15:46:00,F
2/4/2019,4,Prrxl1WT,,6.8,15:31:00,M
2/4/2019,5,Prrxl1WT,3,3.7,16:00:00,F
2/4/2019,6,Prrxl1WT,,2.9,15:50:00,F
2/4/2019,7,Prrxl1WT,8,3.95,12:15:00,M
2/4/2019,8,Prrxl1WT,7,3.95,15:39:00,M
2/5/2019,9,Prrxl1KO,,5.5,14:03:00,M
2/5/2019,10,Prrxl1KO,,4.1,14:06:00,M
2/5/2019,3,Prrxl1WT,5,3.45,14:33:00,F
2/5/2019,12,Prrxl1KO,,3.4,14:26:00,F
2/5/2019,4,Prrxl1WT,,5.4,14:12:00,M
2/5/2019,5,Prrxl1WT,3,3.45,14:31:00,F
2/5/2019,6,Prrxl1WT,,4,14:36:00,F
2/5/2019,7,Prrxl1WT,8,5.05,14:15:00,M
2/5/2019,8,Prrxl1WT,7,5.05,14:17:00,M
2/5/2019,15,Prrxl1KO,16,3.65,14:28:00,F
2/5/2019,16,Prrxl1KO,15,3.65,14:28:00,F
2/6/2019,9,Prrxl1KO,,4.9,16:45:00,M
2/6/2019,10,Prrxl1KO,,3.6,16:48:00,M
2/6/2019,11,Prrxl1KO,,4.5,16:52:00,M
2/6/2019,3,Prrxl1WT,5,1.85,16:17:00,F
2/6/2019,12,Prrxl1KO,,4.2,9:30:00,F
2/6/2019,4,Prrxl1WT,,4.5,16:55:00,M
2/6/2019,5,Prrxl1WT,3,1.85,16:16:00,F
2/6/2019,6,Prrxl1WT,,0.5,16:19:00,F
2/6/2019,7,Prrxl1WT,8,5.4,17:00:00,M
2/6/2019,8,Prrxl1WT,7,5.4,17:02:00,M
2/6/2019,15,Prrxl1KO,16,2.75,15:52:00,F
2/6/2019,16,Prrxl1KO,15,2.75,14:59:00,F
2/13/2019,13,Prrxl1KO,14,2.85,17:06:00,F
2/13/2019,14,Prrxl1KO,13,2.85,17:07:00,F
2/14/2019,13,Prrxl1KO,14,2.8,13:35:00,F
2/14/2019,14,Prrxl1KO,13,2.8,13:34:00,F
2/15/2019,13,Prrxl1KO,14,1.55,12:16:00,F
2/15/2019,14,Prrxl1KO,13,1.55,11:04:00,F
2/15/2019,15,Prrxl1KO,16,4,14:30:00,F
2/15/2019,16,Prrxl1KO,15,4,14:32:00,F
2/16/2019,13,Prrxl1KO,14,1.3,15:21:00,F
2/16/2019,14,Prrxl1KO,13,1.3,15:23:00,F
2/16/2019,15,Prrxl1KO,16,3.2,15:31:00,F
2/16/2019,16,Prrxl1KO,15,3.2,15:29:00,F
3/8/2019,11,Prrxl1KO,,3.7,11:22:00,M
3/9/2019,11,Prrxl1KO,,3.3,11:24:00,M
4/9/2019,11,Prrxl1KO,,4.1,15:34:00,M
4/10/2019,13,Prrxl1KO,14,1.7,16:39:00,F
4/10/2019,14,Prrxl1KO,13,1.7,16:33:00,F
4/13/2019,10,Prrxl1KO,,3.9,13:21:00,M
4/13/2019,11,Prrxl1KO,,4,13:23:00,M
7/3/2019,10,Prrxl1KO,,4.2,15:22:00,M
7/17/2019,13,Prrxl1KO,,3.9,15:13:00,F
7/24/2019,13,Prrxl1KO,,2.1,14:14:00,F
7/27/2019,13,Prrxl1KO,,1.7,13:59:00,F
7/28/2019,1,Prrxl1WT,,7.3,12:57:00,M
7/28/2019,2,Prrxl1WT,,5.8,13:00:00,M
7/28/2019,13,Prrxl1KO,,1.5,13:29:00,F
7/28/2019,7,Prrxl1WT,8,4.9,13:22:00,M
7/28/2019,8,Prrxl1WT,7,4.9,13:23:00,M
7/29/2019,1,Prrxl1WT,,7.2,11:50:00,M
7/29/2019,2,Prrxl1WT,,6.9,11:51:00,M
7/29/2019,13,Prrxl1KO,,2,12:08:00,F
7/29/2019,7,Prrxl1WT,8,4.95,12:04:00,M
7/29/2019,8,Prrxl1WT,7,4.95,12:05:00,M
7/30/2019,1,Prrxl1WT,,7.3,11:49:00,M
7/30/2019,2,Prrxl1WT,,5.9,11:52:00,M
7/30/2019,7,Prrxl1WT,8,5.7,12:11:00,M
7/30/2019,8,Prrxl1WT,7,5.7,12:12:00,M
7/31/2019,1,Prrxl1WT,,6.5,14:29:00,M
7/31/2019,2,Prrxl1WT,,5.1,14:31:00,M
7/31/2019,10,Prrxl1KO,,3.3,14:37:00,M
7/31/2019,7,Prrxl1WT,8,5.85,14:46:00,M
7/31/2019,8,Prrxl1WT,7,5.85,14:48:00,M
8/1/2019,1,Prrxl1WT,,5.2,14:42:00,M
8/1/2019,2,Prrxl1WT,,3.4,14:44:00,M
8/1/2019,10,Prrxl1KO,,0.4,14:51:00,M
8/1/2019,7,Prrxl1WT,8,4.3,14:57:00,M
8/1/2019,8,Prrxl1WT,7,4.3,14:58:00,M
8/2/2019,1,Prrxl1WT,,6.6,10:46:00,M
8/2/2019,2,Prrxl1WT,,5.2,10:48:00,M
8/2/2019,10,Prrxl1KO,,2.9,10:53:00,M
8/2/2019,7,Prrxl1WT,8,5.65,11:00:00,M
8/2/2019,8,Prrxl1WT,7,5.65,11:00:00,M
8/3/2019,1,Prrxl1WT,,4.9,14:33:00,M
8/3/2019,2,Prrxl1WT,,5.5,14:36:00,M
8/3/2019,7,Prrxl1WT,8,5.55,15:00:00,M
8/3/2019,8,Prrxl1WT,7,5.55,15:01:00,M
8/4/2019,1,Prrxl1WT,,5.5,15:51:00,M
8/4/2019,2,Prrxl1WT,,5.2,15:56:00,M
8/4/2019,7,Prrxl1WT,8,5.15,16:06:00,M
8/4/2019,8,Prrxl1WT,7,5.15,16:07:00,M
8/5/2019,1,Prrxl1WT,,5.5,13:51:00,M
8/5/2019,2,Prrxl1WT,,5.8,13:55:00,M
8/5/2019,10,Prrxl1KO,,4.8,14:00:00,M
8/5/2019,7,Prrxl1WT,8,4.4,14:06:00,M
8/5/2019,8,Prrxl1WT,7,4.4,14:07:00,M
8/6/2019,1,Prrxl1WT,,7.5,10:59:00,M
8/6/2019,2,Prrxl1WT,,5.3,11:01:00,M
8/6/2019,10,Prrxl1KO,,4.8,11:05:00,M
8/6/2019,7,Prrxl1WT,8,6,11:12:00,M
8/6/2019,8,Prrxl1WT,7,6,11:13:00,M
8/7/2019,1,Prrxl1WT,,5,14:34:00,M
8/7/2019,2,Prrxl1WT,,6.4,14:37:00,M
8/7/2019,10,Prrxl1KO,,4.1,14:44:00,M
8/7/2019,7,Prrxl1WT,8,4.9,14:57:00,M
8/7/2019,8,Prrxl1WT,7,4.9,14:58:00,M
8/8/2019,1,Prrxl1WT,,6.3,11:01:00,M
8/8/2019,2,Prrxl1WT,,5.4,11:03:00,M
8/8/2019,10,Prrxl1KO,,3.5,11:08:00,M
8/8/2019,7,Prrxl1WT,8,5.7,11:16:00,M
8/8/2019,8,Prrxl1WT,7,5.7,11:18:00,M
8/9/2019,1,Prrxl1WT,,6.1,11:00:00,M
8/9/2019,2,Prrxl1WT,,5.5,11:03:00,M
8/9/2019,7,Prrxl1WT,8,3.2,11:14:00,M
8/9/2019,8,Prrxl1WT,7,3.2,11:15:00,M
8/10/2019,1,Prrxl1WT,,5,13:54:00,M
8/10/2019,2,Prrxl1WT,,5.1,13:58:00,M
8/10/2019,7,Prrxl1WT,8,4.85,14:35:00,M
8/10/2019,8,Prrxl1WT,7,4.85,14:38:00,M
8/11/2019,1,Prrxl1WT,,5.7,13:41:00,M
8/11/2019,2,Prrxl1WT,,4.1,13:43:00,M
8/11/2019,10,Prrxl1KO,,4.4,13:48:00,M
8/11/2019,13,Prrxl1KO,,1.4,13:59:00,F
8/11/2019,7,Prrxl1WT,8,4.25,13:54:00,M
8/11/2019,8,Prrxl1WT,7,4.25,13:55:00,M
8/12/2019,1,Prrxl1WT,,4.1,11:10:00,M
8/12/2019,2,Prrxl1WT,,4.7,11:14:00,M
8/12/2019,10,Prrxl1KO,,4.6,11:19:00,M
8/12/2019,7,Prrxl1WT,8,6.05,11:25:00,M
8/12/2019,8,Prrxl1WT,7,6.05,11:26:00,M
8/13/2019,1,Prrxl1WT,,6.1,11:03:00,M
8/13/2019,2,Prrxl1WT,,3.2,11:05:00,M
8/13/2019,10,Prrxl1KO,,3,11:10:00,M
8/13/2019,7,Prrxl1WT,8,5.8,11:16:00,M
8/13/2019,8,Prrxl1WT,7,5.8,11:18:00,M
8/14/2019,1,Prrxl1WT,,4.9,10:55:00,M
8/14/2019,2,Prrxl1WT,,5.5,10:58:00,M
8/14/2019,7,Prrxl1WT,8,4.65,11:11:00,M
8/14/2019,8,Prrxl1WT,7,4.65,11:12:00,M
8/15/2019,1,Prrxl1WT,,5.7,11:06:00,M
8/15/2019,2,Prrxl1WT,,4.3,11:08:00,M
8/15/2019,7,Prrxl1WT,8,5.05,11:21:00,M
8/15/2019,8,Prrxl1WT,7,5.05,11:23:00,M
8/16/2019,1,Prrxl1WT,,5.7,10:57:00,M
8/16/2019,2,Prrxl1WT,,4,11:00:00,M
8/16/2019,7,Prrxl1WT,8,5.2,11:11:00,M
8/16/2019,8,Prrxl1WT,7,5.2,11:12:00,M
8/17/2019,1,Prrxl1WT,,4.5,13:24:00,M
8/17/2019,2,Prrxl1WT,,4.2,13:31:00,M
8/17/2019,7,Prrxl1WT,8,4.7,14:11:00,M
8/17/2019,8,Prrxl1WT,7,4.7,14:12:00,M
8/18/2019,1,Prrxl1WT,,5,14:52:00,M
8/18/2019,2,Prrxl1WT,,3.7,14:53:00,M
8/18/2019,7,Prrxl1WT,8,4.15,15:02:00,M
8/18/2019,8,Prrxl1WT,7,4.15,15:03:00,M
8/19/2019,1,Prrxl1WT,,6.6,11:09:00,M
8/19/2019,2,Prrxl1WT,,4.4,11:12:00,M
8/19/2019,7,Prrxl1WT,8,4.7,11:26:00,M
8/19/2019,8,Prrxl1WT,7,4.7,11:27:00,M
8/20/2019,1,Prrxl1WT,,5.1,11:48:00,M
8/20/2019,2,Prrxl1WT,,4.2,11:46:00,M
8/20/2019,7,Prrxl1WT,8,5.15,11:36:00,M
8/20/2019,8,Prrxl1WT,7,5.15,11:36:00,M
8/21/2019,1,Prrxl1WT,,5,11:42:00,M
8/21/2019,2,Prrxl1WT,,4.6,11:43:00,M
8/21/2019,7,Prrxl1WT,8,5.88,11:55:00,M
8/21/2019,8,Prrxl1WT,7,5.88,12:00:00,M
8/22/2019,1,Prrxl1WT,,5.6,10:55:00,M
8/22/2019,2,Prrxl1WT,,4.9,10:59:00,M
8/22/2019,7,Prrxl1WT,8,4.7,11:16:00,M
8/22/2019,8,Prrxl1WT,7,4.7,11:16:00,M
8/23/2019,1,Prrxl1WT,,4,12:03:00,M
